Path,Name,DisplayValue,Type,Length,DisplayFormat,ValidityChkOpt,ValidityChkStr,ToolTip,Visibility
,,,struct,1,none,"none","","",on
,SFN,853,uint16,1,numeric,"Limits:[min,max]","[0,1023]","System Frame Number, Value: 0-1023",on
,Slot,15,uint16,1,numeric,"Limits:[min,max]","[0,319]","Value: 0-319",on
,nPDUs,2,uint8,1,numeric,"CallbackFunction","@ul_tti_callback","Number of PDUs that are included in this message. All PDUs in the message are numbered in order. Value 0-255",on
,RachPresent,0,uint8,1,numeric,"DropDownList","{0,1}","Indicates if a RACH PDU will be included in this message. 0: no RACH in this slot 1: RACH in this slot",on
,nULSCH,2,uint8,1,numeric,"Limits:[min,max]","[0,255]","Number of ULSCH PDUs that are included in this message. Value: 0 - 255",on
,nULCCH,0,uint8,1,numeric,"Limits:[min,max]","[0,255]","Number of ULCCH PDUs that are included in this message. Value: 0 - 255",on
,nGroup,2,uint8,1,numeric,"CallbackFunction","@ul_tti_callback","Number of UE Groups included in this message. Value 0-8",on
,PDU(1),,struct,1,none,"none","","",on
PDU(1),PDUType,1,uint16,1,numeric,"CallbackFunction","@ul_tti_callback","0: PRACH, 1: PUSCH,  2: PUCCH, 3: SRS",on
PDU(1),PDUSize,0,uint16,1,numeric,"Limits:[min,max]","[0, 65535]","Size of the PDU control information (in bytes). This length value includes the 4 bytes required for the PDU type and PDU size parameters. Value: 0 - 65535",on
PDU(1),PUSCH,,struct,1,none,"none","","",on
PDU(1).PUSCH,pduBitmap,1,uint16,1,numeric,"CallbackFunction","@ul_tti_callback","Bitmap indicating presence of optional PDUs Bit 0: puschData (Indicates data is expected on the PUSCH) Bit 1:puschUci (Indicates UCI is expected on the PUSCH) Bit 2: puschPtrs (Indicates PTRS included (FR2)) Bit 3: dftsOfdm (Indicates DFT S-OFDM transmission)",on
PDU(1).PUSCH,RNTI,350,uint16,1,numeric,"Limits:[min,max]","[1,65535]","The RNTI used for identifying the UE when receiving the PDU",on
PDU(1).PUSCH,Handle,0,uint32,1,numeric,"none","","An opaque handling returned in the RxData.indication and/or UCI.indication message",on
PDU(1).PUSCH,BWP,,struct,1,none,"none","","",on
PDU(1).PUSCH.BWP,BWPsize,50,uint16,1,numeric,"Limits:[min,max]","[1,275]","Number of contiguous PRBs allocated to the BWP, Value: 1-275",on
